"Name";"CompanyName"
"Aeson";"Gaetan.Jaminon"
"AesString";"chrisstone"
"AffectedKeyCredentials";"jeoshin"
"AffinityAPI";"burkasaurusrex"
"aFunctions";"SupSkiFun"
"agatest1";"agallego-css"
"AgileCli";"nick.spreitzer"
"AGMPowerCLI";"AnthonyVandewerdt,msalins"
"AGMPowerLib";"AnthonyVandewerdt"
"AiLogging";"JiriF"
"AIPScannerConfig";"DaveGoldman"
"AIPService";"AzureRMS"
"AiRE";"storvixab"
"AirtableCmdlets";"CData"
"AitonVPNTools";"PatrykMilewski"
"AjaySampleModule";"Ajay458"
"Ajustee.Client";"ajustee"
"AkamaiPowershell";"stuartio"
"AKPT";"eolith"
"aks";"vimalsingh"
"AksGMSA";"vrapolinario,sijuman"
"AksHci";"nwoodmsft,dingov,madhanrajm,mkostersitz,JocelynBerrendonner,rdanielson,mamezgeb,apluchik"
"ALCompiler";"rasmusedberg"
"AleroPS";"AXPP"
"AlfrescoCmdlets";"CData"
"aliens";"trevor"
"AliModule";"snegr1880"
"ALLanguageTools";"sindre"
"Allegis";"SeanMcGovern,stumbledUponTheTruth"
"AllMyIT";"Kob"
"allspice";"Chirishman"
"alops.core";"HodorNV"
"ALOps.ExternalDeployer";"HodorNV"
"Alt3.Docusaurus.Powershell";"alt3"
"Altazion";"simplement-e"
"AlticapRMMTempAdminToolbox";"Alticap"
"AlticapRMMToolbox";"Alticap"
"ALTools";"mczerniawski"
"AMAG-SMSPowershell";"joshn-whatcomtrans.net"
"AmazonAthenaCmdlets";"CData"
"AmazonDynamoDBCmdlets";"CData"
"AmazonMarketplaceCmdlets";"CData"
"AmazonS3Cmdlets";"CData"
"AmoebaML";"Romero126"
"AMPowerShellTemplate";"FlemmingRohde"
"amps";"amervitz"
"AMSI";"adamdriscoll"
"AMSoftware.Crm";"AMSoftware"
"Anafora.PowerShell";"Wiktoryn"
"Anafora.Shell.PowerShell";"Wiktoryn"
"AnaforaShell";"Wiktoryn"
"Analyth.PowerShell";"didierfolly"
"Anderson.MS365.SecAudit";"andersonmatters"
"ANeT-API";"janku"
"AngleParse";"kamome283"
"AnimatedLamp";"adamdriscoll"
"AnonUpload";"SimeonOnSecurity"
"AnonymBsContainer";"PJezour"
"AnsibleTower";"gpduck"
"AnsibleVault";"jborean93"
"AnsiColorOut";"bozho"
"anvm";"appveyor"
"AnyBox";"fresh2dev"
"Anypoint";"yamamo"
"AOVPNTools";"richardhicks"
"ApacheCouchDBCmdlets";"CData"
"ApacheHBaseCmdlets";"CData"
"ApacheHiveCmdlets";"CData"
"ApacheImpalaCmdlets";"CData"
"ApachePhoenixCmdlets";"CData"
"ApexSQL_DevOps_toolkit";"ApexSQL"
"APICmdlets";"CData"
"APIfromGithub";"AndreAHCT"
"APIManagementTemplate";"lfalck,MLogdberg"
"APIsCmdlets";"CData"
"apivoid";"matthew-hale"
"APortal.PowerShell";"iiunknown"
"AppDomainConfig";"beefarino"
"appdynamics";"inammathe"
"AppianPS";"Dejulia489"
"AppInsights";"svengrav"
"ApplicationInsightsCustomEvents";"rohitminni"
"ApplicationInsightsLogging";"FabianS"
"AppLockerAdmin";"Norlunn"
"AppLockerEx";"iainbrighton"
"AppManiProgramManager";"rguiamoy"
"appveyorartifacts";"arthur.tagirov"
"AppVeyorBYOC";"appveyor"
"AppVeyorTestPsGallery";"appveyor"
"AppVForcelets";"Andreas.Nick"
"AppvProvider";"iainbrighton"
"AppxGet";"cristian.toma"
"APSTroubleshoot";"brenle"
"AptPackage";"cschuchardt"
"AptTelemetry";"anaptis"
"apvr-test";"OCram85"
"AQtools";"McMurdo"
"ARAH";"Callidus2000"
"ArcAdminTools";"mczerniawski"
"ArcGIS";"arcgis-powershell"
"ArcGIS.Microsoft365";"arcgis"
"ArcHci";"JocelynBerrendonner,dhwanishah,annarayanan"
"ArchitectureDecisionRecords";"ajoberstar"
"ArchivematicaChecksum";"danloveg"
"Archiver";"zzzzbov"
"ArchivialPowerShell";"kbabinec"
"Arcus.Scripting.All";"ArcusAzure"
"Arcus.Scripting.ApiManagement";"ArcusAzure"
"Arcus.Scripting.AppService";"ArcusAzure"
"Arcus.Scripting.ARM";"ArcusAzure"
"Arcus.Scripting.DataFactory";"ArcusAzure"
"Arcus.Scripting.DevOps";"ArcusAzure"
"Arcus.Scripting.IntegrationAccount";"ArcusAzure"
"Arcus.Scripting.KeyVault";"ArcusAzure"
"Arcus.Scripting.LogicApps";"ArcusAzure"
"Arcus.Scripting.Management";"ArcusAzure"
"Arcus.Scripting.Security";"ArcusAzure"
"Arcus.Scripting.Sql";"ArcusAzure"
"Arcus.Scripting.Storage.All";"ArcusAzure"
"Arcus.Scripting.Storage.Blob";"ArcusAzure"
"Arcus.Scripting.Storage.FileShare";"ArcusAzure"
"Arcus.Scripting.Storage.Table";"ArcusAzure"
"Ardoq";"kmhuglen"
"ArielAuxFn";"FluffyBeaver"
"ArkanePsh";"ArkaneSystems"
"Arma3PowerShell";"CaiusAjiz"
"ARMDeploy";"pkparsard"
"ARMHelper";"Ba4bes"
"ARMLinker";"Lars-Erik"
"Armor";"tlindsay42"
"ArrayList";"brianbunke"
"ArraySplit";"RhysM"
"ArtemisSigGenerator";"Largehawiian"
"Artifactory";"NicholasDille"
"ARTools";"psrdrgz"
"Arvan";"iravanchi"
"ArxmlAutomation-Basic";"Hansong"
"ArxmlAutomation-Basic-Validation";"Hansong"
"ArxmlAutomation-Swc";"Hansong"
"ArxmlAutomation-Swc-Advance";"Hansong"
"ArxmlAutomation-Swc-Validation";"Hansong"
"ArxmlAutomation-Utils";"Hansong"
"asa.unittest";"Fleid"
"AsanaCmdlets";"CData"
"AsBuiltReport";"tpcarman"
"AsBuiltReport.Cisco.UcsManager";"tpcarman"
"AsBuiltReport.Core";"tpcarman"
"AsBuiltReport.DellEMC.VxRail";"tpcarman"
"AsBuiltReport.Microsoft.AD";"tpcarman"
"AsBuiltReport.Microsoft.Windows";"tpcarman"
"AsBuiltReport.NetApp.ONTAP";"tpcarman"
"AsBuiltReport.Nutanix.PrismElement";"tpcarman"
"AsBuiltReport.PureStorage.FlashArray";"tpcarman"
"AsBuiltReport.Rubrik.CDM";"tpcarman"
"AsBuiltReport.Veeam.VBR";"tpcarman"
"AsBuiltReport.VMware.ESXi";"tpcarman"
"AsBuiltReport.VMware.NSXv";"tpcarman"
"AsBuiltReport.VMware.SRM";"tpcarman"
"AsBuiltReport.VMware.vSphere";"tpcarman"
"Asciify";"HIGHphen"
"Ascribe.Inspector";"mike.obrian"
"ASDatabaseComparator";"NandanHegde"
"AsgGroup";"ASG_RJW"
"AsgGroupCantara";"ASG_RJW"
"AsgGroupJDEdwards-Selenium";"ASG_RJW"
"AsgGroupLegacy";"ASG_RJW"
"AsgGroupSSh";"ASG_RJW"
"Ask";"natebarkei"
"ASN.1";"michael.haken"
"ASRRules";"Emin"
"Assembly";"Prajeesh"
"AssemblyMeta";"qbik"
"Assert";"nohwnd"
"AssertExceptionThrown";"OneEyedSi"
"Assert-JsonValidity";"c.diehl"
"AssetInventory";"michael.haken"
"AssistDeploy";"RichieBzzzt"
"AstExtensions";"gogbg"
"AstHelper";"ThmsRynr,MrThomasRayner"
"AsyncHttps";"phbits"
"ATAPAuditor";"Beneboe,florianbroeder,PatHelb"
"ATAPHtmlReport";"Beneboe,florianbroeder,PatHelb"
"AtcoderFs.Pwsh";"luAnago"
"ATDD.TestScriptor";"jhoek,lvanvugt"
"Atempo.Lina";"tibo"
"Atlas.ClientToolKit";"Atlas-Justin"
"Atlassian.Bitbucket";"eelkram"
"AtlassianCLI";"Invoke-Automation"
"AtlassianPS.Configuration";"AtlassianPS"
"Atmosphere";"slurps-mad-rips"
"AtomDigitalObjectDownloader";"danloveg"
"AtomicTestHarnesses";"redcanary"
"AttunixMSPTools";"AttunixMSP"
"AU";"majkinetor"
"au.com.kloud.netscaler";"wvanbesien"
"AudioDeviceCmdlets";"frgnca"
"AudioSwitcher";"xenolightning"
"AudioVolumeDsc";"mkht"
"AudioWorks.Commands";"JHerbY2K"
"Auditpol";"StephenRoberts"
"AuditPolicy";"Przemyslaw.Klys"
"AuditPolicyDsc";"PowerShellTeam,gaelcolas,dsccommunity"
"AuditSystemDsc";"JasonW"
"Auth0";"panesofglass"
"Auth0ConnectionEx";"pswetz"
"Authenticode";"Jaykul"
"AuthorizeNetCmdlets";"CData"
"AutifyCmdlets";"CData"
"AutoBrowse";"Start-Automating"
"autographps";"adamedx"
"autographps-sdk";"adamedx"
"Autoload";"Jaykul"
"Autologon";"GraceSolutions"
"AutomaTD";"DollarUnderscore"
"AutomateAPI";"Gavsto"
"AutomatedLab";"Raimund,AutomatedLabTeam"
"AutomatedLab.Common";"Raimund,nyanhp,AutomatedLabTeam"
"AutomatedLab.Recipe";"AutomatedLabTeam"
"AutomatedLab.Ships";"AutomatedLabTeam"
"AutomatedLabDefinition";"Raimund,AutomatedLabTeam"
"AutomatedLabNotifications";"Raimund,AutomatedLabTeam"
"AutomatedLabTest";"AutomatedLabTeam"
"AutomatedLabUnattended";"Raimund,AutomatedLabTeam"
"AutomatedLabWorker";"Raimund,AutomatedLabTeam"
"AutoMatePS";"AutomatePS"
"AutomatePS.Health";"AutomatePS"
"AutomaticMaintenance";"Fozzy"
"Automation.Database";"rneeft"
"AutomationAnywhere";"carlosevp"
"AutomatiserarSE";"Ispep"
"Automatos.Common";"Automatos-Admin"
"Autonance";"claudiospizzi"
"AutoPatchDSC";"chmadole"
"AutopilotOOBE";"Segura"
"AutopilotQuick";"Carbun"
"AutopilotUtility";"MTNiehaus"
"AutoReport";"scott-epperly"
"AutoRest";"Fred"
"AutoRuns";"Emin"
"Autotask";"klemmestad"
"AutoTaskAPI";"Lime-TeGek"
"AutotaskBeta";"klemmestad"
"AutoTaskEndpointManagement";"wetling"
"AutotaskOCH";"kristofferoch"
"AutotaskRestAPI";"SergLGP"
"AutoVars";"beefarino"
"AutoWebCreds";"pldmgg"
"AvalaraCmdlets";"CData"
"Avanade.ArmTools";"cspeers"
"Avanade.AsmTools";"cspeers"
"Avanade.Azure.Models";"cspeers"
"Avanade.AzureAD";"cspeers"
"Avanade.AzureAD.Graph";"cspeers"
"Avanade.AzureReports";"cspeers"
